NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	Details ...	78	-0.6479284	-2.2165082	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	Details ...	78	-0.6498995	-2.2094994	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	78	-0.64539415	-2.208928	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	Details ...	78	-0.6514974	-2.2023687	0.0	0.0	0.0	4420	tags=74%, list=28%, signal=103%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	Details ...	78	-0.65148145	-2.1998177	0.0	0.0	0.0	4420	tags=74%, list=28%, signal=103%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	Details ...	78	-0.65148145	-2.1981244	0.0	0.0	0.0	4420	tags=74%, list=28%, signal=103%	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	Details ...	78	-0.64995927	-2.196775	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	Details ...	78	-0.64420146	-2.1947935	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	Details ...	78	-0.64988744	-2.192354	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	78	-0.6440985	-2.187529	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	Details ...	79	-0.639922	-2.178329	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=102%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	Details ...	78	-0.6479478	-2.1774688	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	Details ...	78	-0.6456218	-2.1765392	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	78	-0.6464264	-2.1748145	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	Details ...	88	-0.6335364	-2.1734037	0.0	0.0	0.0	4420	tags=70%, list=28%, signal=97%	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	Details ...	78	-0.64913213	-2.1711693	0.0	0.0	0.0	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	Details ...	78	-0.6515013	-2.165494	0.0	0.0	0.0	4420	tags=74%, list=28%, signal=103%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902	Details ...	85	-0.6312944	-2.145352	0.0	7.8979334E-5	0.002	4420	tags=69%, list=28%, signal=96%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689	Details ...	97	-0.6118909	-2.1429634	0.0	1.1215512E-4	0.003	4420	tags=63%, list=28%, signal=87%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220510%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220510%WP477%HOMO SAPIENS	Details ...	80	-0.6388845	-2.1398377	0.0	1.0654736E-4	0.003	4468	tags=71%, list=28%, signal=99%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928		78	-0.6372752	-2.1321955	0.0	1.3488957E-4	0.004	4420	tags=73%, list=28%, signal=101%	
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528		78	-0.6301805	-2.1010559	0.0	2.580505E-4	0.008	4420	tags=73%, list=28%, signal=101%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.2	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.2		115	-0.5740796	-2.0909832	0.0	3.0977148E-4	0.01	4420	tags=57%, list=28%, signal=78%	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918		78	-0.61625075	-2.0857604	0.0	2.9686434E-4	0.01	4420	tags=73%, list=28%, signal=101%	
