NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	156	0.77458125	3.113288	0.0	0.0	0.0	2010	tags=62%, list=13%, signal=70%	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	78	0.82630634	3.014483	0.0	0.0	0.0	1966	tags=76%, list=12%, signal=86%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.7	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.7	Details ...	57	0.85069185	2.9985642	0.0	0.0	0.0	900	tags=65%, list=6%, signal=69%	
INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 83%913531	INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 83%913531	Details ...	170	0.6771738	2.7616618	0.0	0.0	0.0	1178	tags=39%, list=7%, signal=42%	
DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	Details ...	158	0.6653425	2.69555	0.0	0.0	0.0	1583	tags=40%, list=10%, signal=44%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	158	0.6653425	2.6575089	0.0	0.0	0.0	1583	tags=40%, list=10%, signal=44%	
MEASLES VIRUS INFECTION%WIKIPATHWAYS_20220510%WP4630%HOMO SAPIENS	MEASLES VIRUS INFECTION%WIKIPATHWAYS_20220510%WP4630%HOMO SAPIENS	Details ...	90	0.7031283	2.6315339	0.0	0.0	0.0	1956	tags=44%, list=12%, signal=50%	
INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.5	INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.5	Details ...	80	0.6837635	2.5172763	0.0	0.0	0.0	1141	tags=44%, list=7%, signal=47%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	Details ...	30	0.8093068	2.4821105	0.0	0.0	0.0	730	tags=43%, list=5%, signal=45%	
'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	Details ...	31	0.7948192	2.4169137	0.0	0.0	0.0	632	tags=29%, list=4%, signal=30%	
PROTEIN REFOLDING%GOBP%GO:0042026	PROTEIN REFOLDING%GOBP%GO:0042026	Details ...	17	0.8950464	2.384326	0.0	0.0	0.0	941	tags=53%, list=6%, signal=56%	
CHAPERONE-MEDIATED PROTEIN FOLDING%GOBP%GO:0061077	CHAPERONE-MEDIATED PROTEIN FOLDING%GOBP%GO:0061077	Details ...	57	0.6788158	2.3835738	0.0	0.0	0.0	2229	tags=37%, list=14%, signal=43%	
'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	Details ...	34	0.779728	2.379138	0.0	0.0	0.0	651	tags=29%, list=4%, signal=31%	
NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	Details ...	72	0.66331816	2.3791294	0.0	0.0	0.0	1533	tags=43%, list=10%, signal=47%	
HSP90 CHAPERONE CYCLE FOR SHRS%REACTOME DATABASE ID RELEASE 83%3371497	HSP90 CHAPERONE CYCLE FOR SHRS%REACTOME DATABASE ID RELEASE 83%3371497	Details ...	36	0.75645995	2.3689246	0.0	0.0	0.0	1097	tags=42%, list=7%, signal=45%	
COSTIMULATION BY THE CD28 FAMILY%REACTOME%R-HSA-388841.4	COSTIMULATION BY THE CD28 FAMILY%REACTOME%R-HSA-388841.4	Details ...	66	0.6701744	2.3612456	0.0	0.0	0.0	1880	tags=41%, list=12%, signal=46%	
TNFR2 NON-CANONICAL NF-KB PATHWAY%REACTOME%R-HSA-5668541.3	TNFR2 NON-CANONICAL NF-KB PATHWAY%REACTOME%R-HSA-5668541.3	Details ...	93	0.6260802	2.357839	0.0	0.0	0.0	2006	tags=43%, list=13%, signal=49%	
REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	Details ...	114	0.6039654	2.353934	0.0	0.0	0.0	2316	tags=43%, list=15%, signal=50%	
REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	Details ...	75	0.64680344	2.3508472	0.0	0.0	0.0	2398	tags=49%, list=15%, signal=58%	
AUF1 (HNRNP D0) BINDS AND DESTABILIZES MRNA%REACTOME%R-HSA-450408.3	AUF1 (HNRNP D0) BINDS AND DESTABILIZES MRNA%REACTOME%R-HSA-450408.3	Details ...	52	0.69998676	2.3505142	0.0	0.0	0.0	2002	tags=44%, list=13%, signal=51%	
PROTEASOME DEGRADATION%WIKIPATHWAYS_20220510%WP183%HOMO SAPIENS	PROTEASOME DEGRADATION%WIKIPATHWAYS_20220510%WP183%HOMO SAPIENS		39	0.740736	2.3461735	0.0	0.0	0.0	2142	tags=54%, list=14%, signal=62%	
ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882		78	0.635314	2.3424876	0.0	0.0	0.0	2332	tags=44%, list=15%, signal=51%	
CHAPERONE COFACTOR-DEPENDENT PROTEIN REFOLDING%GOBP%GO:0051085	CHAPERONE COFACTOR-DEPENDENT PROTEIN REFOLDING%GOBP%GO:0051085		26	0.81863403	2.3351107	0.0	0.0	0.0	481	tags=31%, list=3%, signal=32%	
HOST-PATHOGEN INTERACTION OF HUMAN CORONAVIRUSES - INTERFERON INDUCTION%WIKIPATHWAYS_20220510%WP4880%HOMO SAPIENS	HOST-PATHOGEN INTERACTION OF HUMAN CORONAVIRUSES - INTERFERON INDUCTION%WIKIPATHWAYS_20220510%WP4880%HOMO SAPIENS		31	0.7633347	2.3320038	0.0	0.0	0.0	975	tags=42%, list=6%, signal=45%	
CELLULAR RESPONSE TO HEAT%GOBP%GO:0034605	CELLULAR RESPONSE TO HEAT%GOBP%GO:0034605		36	0.7314176	2.319087	0.0	0.0	0.0	1177	tags=44%, list=7%, signal=48%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002		59	0.67091155	2.3146367	0.0	0.0	0.0	2332	tags=46%, list=15%, signal=54%	
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071		50	0.7092164	2.3075352	0.0	0.0	0.0	658	tags=44%, list=4%, signal=46%	
ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 83%1236975	ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 83%1236975		94	0.6136036	2.2992744	0.0	0.0	0.0	2841	tags=48%, list=18%, signal=58%	
ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.4	ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.4		83	0.6177028	2.294913	0.0	0.0	0.0	2002	tags=40%, list=13%, signal=45%	
REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU-RICH ELEMENTS%REACTOME DATABASE ID RELEASE 83%450531	REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU-RICH ELEMENTS%REACTOME DATABASE ID RELEASE 83%450531		82	0.6160662	2.2872853	0.0	0.0	0.0	2257	tags=39%, list=14%, signal=45%	
DECTIN-1 MEDIATED NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5607761.1	DECTIN-1 MEDIATED NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5607761.1		58	0.6621186	2.2776415	0.0	0.0	0.0	2002	tags=41%, list=13%, signal=47%	
DOWNSTREAM TCR SIGNALING%REACTOME DATABASE ID RELEASE 83%202424	DOWNSTREAM TCR SIGNALING%REACTOME DATABASE ID RELEASE 83%202424		94	0.5994486	2.2748878	0.0	0.0	0.0	2002	tags=36%, list=13%, signal=41%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478		32	0.7287666	2.2686043	0.0	0.0	0.0	1744	tags=50%, list=11%, signal=56%	
REGULATION OF INTERLEUKIN-4 PRODUCTION%GOBP%GO:0032673	REGULATION OF INTERLEUKIN-4 PRODUCTION%GOBP%GO:0032673		23	0.7982816	2.2606616	0.0	0.0	0.0	1382	tags=48%, list=9%, signal=52%	
RESPONSE TO INTERFERON-BETA%GOBP%GO:0035456	RESPONSE TO INTERFERON-BETA%GOBP%GO:0035456		25	0.78693277	2.259244	0.0	0.0	0.0	1577	tags=56%, list=10%, signal=62%	
NIK-->NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5676590.1	NIK-->NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5676590.1		57	0.6551943	2.2557902	0.0	0.0	0.0	2002	tags=40%, list=13%, signal=46%	
PD-1 SIGNALING%REACTOME DATABASE ID RELEASE 83%389948	PD-1 SIGNALING%REACTOME DATABASE ID RELEASE 83%389948		24	0.7968636	2.2523475	0.0	0.0	0.0	1451	tags=54%, list=9%, signal=60%	
ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME%R-HSA-1169410.4	ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME%R-HSA-1169410.4		75	0.6272885	2.2516608	0.0	0.0	0.0	1363	tags=31%, list=9%, signal=33%	
TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20220510%WP619%HOMO SAPIENS	TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20220510%WP619%HOMO SAPIENS		23	0.8003149	2.2462504	0.0	0.0	0.0	861	tags=65%, list=5%, signal=69%	
PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS%REACTOME DATABASE ID RELEASE 83%202427	PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS%REACTOME DATABASE ID RELEASE 83%202427		23	0.7901986	2.2370195	0.0	3.6430232E-5	0.001	1451	tags=48%, list=9%, signal=53%	
REGULATION OF VIRAL PROCESS%GOBP%GO:0050792	REGULATION OF VIRAL PROCESS%GOBP%GO:0050792		132	0.5734801	2.23514	0.0	7.0354734E-5	0.002	2316	tags=39%, list=15%, signal=46%	
RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN DIFFERENTIATION OF HSCS%REACTOME%R-HSA-8939236.1	RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN DIFFERENTIATION OF HSCS%REACTOME%R-HSA-8939236.1		74	0.624631	2.2342787	0.0	6.867962E-5	0.002	2621	tags=45%, list=17%, signal=53%	
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357		22	0.80745995	2.2330463	0.0	6.708242E-5	0.002	1586	tags=55%, list=10%, signal=61%	
CLEC7A (DECTIN-1) SIGNALING%REACTOME%R-HSA-5607764.1	CLEC7A (DECTIN-1) SIGNALING%REACTOME%R-HSA-5607764.1		93	0.58976054	2.22968	0.0	6.555782E-5	0.002	2841	tags=43%, list=18%, signal=52%	
POSITIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045089	POSITIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045089		191	0.54387456	2.2293522	0.0	6.4100976E-5	0.002	1608	tags=29%, list=10%, signal=32%	
MIRNAS INVOLVEMENT IN THE IMMUNE RESPONSE IN SEPSIS%WIKIPATHWAYS_20220510%WP4329%HOMO SAPIENS	MIRNAS INVOLVEMENT IN THE IMMUNE RESPONSE IN SEPSIS%WIKIPATHWAYS_20220510%WP4329%HOMO SAPIENS		27	0.74589574	2.2205691	0.0	6.270748E-5	0.002	753	tags=37%, list=5%, signal=39%	
TNF-RELATED WEAK INDUCER OF APOPTOSIS (TWEAK) SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2036%HOMO SAPIENS	TNF-RELATED WEAK INDUCER OF APOPTOSIS (TWEAK) SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2036%HOMO SAPIENS		34	0.713643	2.2174191	0.0	9.233452E-5	0.003	1359	tags=35%, list=9%, signal=39%	
RESPONSE TO HEAT%GOBP%GO:0009408	RESPONSE TO HEAT%GOBP%GO:0009408		52	0.6583279	2.2111309	0.0	9.041089E-5	0.003	1177	tags=35%, list=7%, signal=37%	
TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060337	TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060337		21	0.7973786	2.210078	0.0	1.1786859E-4	0.004	1586	tags=52%, list=10%, signal=58%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886		25	0.7582371	2.1965523	0.0	1.7369348E-4	0.006	1744	tags=56%, list=11%, signal=63%	
SCF(SKP2)-MEDIATED DEGRADATION OF P27 P21%REACTOME DATABASE ID RELEASE 83%187577	SCF(SKP2)-MEDIATED DEGRADATION OF P27 P21%REACTOME DATABASE ID RELEASE 83%187577		57	0.62897474	2.1963277	0.0	1.7028773E-4	0.006	2841	tags=47%, list=18%, signal=58%	
RESPONSE TO INTERFERON-ALPHA%GOBP%GO:0035455	RESPONSE TO INTERFERON-ALPHA%GOBP%GO:0035455		18	0.8198034	2.191379	0.002247191	1.9449927E-4	0.007	1178	tags=50%, list=7%, signal=54%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884		33	0.7160522	2.190043	0.0	1.9082948E-4	0.007	1744	tags=48%, list=11%, signal=54%	
REGULATION OF RUNX2 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 83%8939902	REGULATION OF RUNX2 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 83%8939902		64	0.6265645	2.1883764	0.0	1.872956E-4	0.007	2002	tags=39%, list=13%, signal=45%	
